,Year,HHI
0,2016,1741.8989093788368
1,1999,1277.55307059388
2,2000,1296.7260119873952
3,2001,1264.3262202350045
4,2002,1215.7739402868547
5,2003,1363.8688145557112
6,2004,1485.8831635817646
7,2005,1227.2996842655105
8,2006,1553.0749540118736
9,2007,1565.6653716628614
10,2008,1488.8564033884468
11,2009,1686.4820101604712
12,2010,1558.4577933873964
13,2011,1616.4638055448058
14,2012,1396.8838683949484
15,2013,1430.067287259761
16,2014,1781.8884426708428
17,2015,1625.4016790706387
