,Unnamed: 0,Rank,Movie,Studio,Total Gross,All Theaters,Opening Total,Opening Theaters,Open Date,Close Date,Year
1899,19,24,"Me, Myself and Irene",Fox,90570999.00,3087,"$24,209,385 ",3019,23-Jun,0,2000
1900,20,25,Space Cowboys,WB,90464773.00,2835,"$18,093,776 ",2805,4-Aug,0,2000
1901,21,26,The Emperor's New Groove,BV,89302687.00,2887,"$9,812,302 ",2801,15-Dec,0,2000
1902,22,27,Scream 3,Dim.,89143175.00,3467,"$34,713,342 ",3467,4-Feb,0,2000
1903,23,28,U-571,Uni.,77122415.00,2820,"$19,553,310 ",2583,21-Apr,0,2000
1904,24,29,Rugrats in Paris: The Movie,Par.,76507756.00,2937,"$22,718,184 ",2934,17-Nov,0,2000
1905,25,30,The Family Man,Uni.,75793305.00,2441,"$10,554,960 ",2388,22-Dec,0,2000
1906,26,31,Hollow Man,Sony,73209340.00,2956,"$26,414,386 ",2956,4-Aug,0,2000
1907,27,32,Chocolat,Mira.,71509363.00,1928,"$157,624 ",8,15-Dec,0,2000
1908,28,33,Shaft,Par.,70334258.00,2433,"$21,714,757 ",2337,16-Jun,0,2000
1909,29,34,Disney's The Kid,BV,69691949.00,2343,"$12,687,726 ",2167,7-Jul,0,2000
1910,30,35,Vertical Limit,Sony,69243859.00,2602,"$15,507,845 ",2307,8-Dec,0,2000
1911,31,36,Road Trip,DW,68540777.00,2654,"$15,484,004 ",2530,19-May,0,2000
1912,32,37,Bring It On,Uni.,68379000.00,2466,"$17,362,105 ",2380,25-Aug,0,2000
1913,33,38,102 Dalmatians,BV,66957026.00,2704,"$19,883,351 ",2704,22-Nov,0,2000
1914,34,39,Rules of Engagement,Par.,61335230.00,3220,"$15,011,181 ",3155,7-Apr,0,2000
1915,35,40,The Cell,NL,61334059.00,2476,"$17,515,050 ",2411,18-Aug,0,2000
1916,36,41,Mission to Mars,BV,60883407.00,3101,"$22,855,247 ",3054,10-Mar,0,2000
1917,37,42,Coyote Ugly,BV,60786269.00,2664,"$17,319,282 ",2653,4-Aug,0,2000
1918,38,43,Fantasia 2000 (35mm & IMAX),BV,60655420.00,1313,"$2,290,525 ",54,1-Jan,0,2000
1919,39,44,Snow Day,Par.,60020107.00,2717,"$14,331,819 ",2664,11-Feb,0,2000
1920,40,45,Next Friday,NL,57328603.00,1420,"$14,465,156 ",1103,12-Jan,0,2000
1921,41,46,The Whole Nine Yards,WB,57262492.00,2910,"$13,731,070 ",2910,18-Feb,0,2000
1922,42,47,Shanghai Noon,BV,56937502.00,2751,"$15,607,034 ",2711,26-May,0,2000
1923,43,48,Romeo Must Die,WB,55973336.00,2641,"$18,014,503 ",2641,22-Mar,0,2000
1924,44,49,Final Destination,NL,53331147.00,2587,"$10,015,822 ",2587,17-Mar,0,2000
1925,45,50,Fantasia 2000 (IMAX),BV,52260454.00,,,,1-Jan,0,2000
1926,46,51,Finding Forrester,Sony,51804714.00,2002,"$701,207 ",200,22-Dec,0,2000
1927,47,52,The Road to El Dorado,DW,50863742.00,3223,"$12,846,652 ",3218,31-Mar,0,2000
1928,48,53,Men of Honor,Fox,48818921.00,2188,"$13,339,465 ",2092,10-Nov,0,2000
1929,49,54,"Dude, Where's My Car?",Fox,46729800.00,2100,"$13,845,914 ",2087,15-Dec,0,2000
1930,50,55,The Tigger Movie,BV,45554533.00,2818,"$9,427,532 ",2723,11-Feb,0,2000
1931,51,56,"O Brother, Where Art Thou?",BV,45512588.00,847,"$195,104 ",5,22-Dec,0,2000
1932,52,57,Frequency,NL,45010278.00,2631,"$9,025,584 ",2621,28-Apr,0,2000
1933,53,58,The Replacements,WB,44737059.00,2754,"$11,039,214 ",2754,11-Aug,0,2000
1934,54,59,Pokemon: The Movie 2000,WB,43758684.00,2752,"$19,575,608 ",2752,21-Jul,0,2000
1935,55,60,The Beach,Fox,39785027.00,2587,"$15,277,921 ",2547,11-Feb,0,2000
1936,56,61,The Exorcist Director's Cut,WB,39671011.00,1708,"$8,175,666 ",664,22-Sep,0,2000
1937,57,62,Little Nicky,NL,39464775.00,2910,"$16,063,904 ",2910,10-Nov,0,2000
1938,58,63,Pitch Black,USA,39240659.00,1930,"$11,577,688 ",1832,18-Feb,0,2000
1939,59,64,The Original Kings of Comedy,Par.,38182790.00,1082,"$11,053,832 ",847,18-Aug,0,2000
1940,60,65,Bedazzled (2000),Fox,37886980.00,2571,"$13,106,526 ",2568,20-Oct,0,2000
1941,61,66,Autumn in New York,MGM,37761915.00,2282,"$10,987,006 ",2255,11-Aug,0,2000
1942,62,67,28 Days,Sony,37170488.00,2523,"$10,310,672 ",2523,14-Apr,0,2000
1943,63,68,Keeping the Faith,BV,37047880.00,2171,"$8,078,671 ",2152,14-Apr,0,2000
1944,64,69,Bounce,Mira.,36805288.00,2028,"$11,423,716 ",1918,17-Nov,0,2000
1945,65,70,Hanging Up,Sony,36050230.00,2618,"$13,567,978 ",2618,18-Feb,0,2000
1946,66,71,The Flintstones in Viva Rock Vegas,Uni.,35268275.00,3125,"$10,518,435 ",3040,28-Apr,0,2000
1947,67,72,The Skulls,Uni.,35046120.00,2416,"$11,034,885 ",2412,31-Mar,0,2000
1948,68,73,The 6th Day,Sony,34604280.00,2516,"$13,020,883 ",2516,17-Nov,0,2000
1949,69,74,Thirteen Days,NL,34592089.00,2034,"$46,668 ",8,22-Dec,0,2000
1950,70,75,My Dog Skip,WB,34134641.00,2331,"$56,943 ",5,14-Jan,0,2000
1951,71,76,Where the Heart Is,Fox,33772838.00,2439,"$8,292,939 ",2437,28-Apr,0,2000
1952,72,77,Pay It Forward,WB,33519628.00,2130,"$9,631,359 ",2130,20-Oct,0,2000
1953,73,78,Dracula 2000,Mira.,33022767.00,2204,"$8,636,567 ",2204,22-Dec,0,2000
1954,74,79,Return to Me,MGM,32722798.00,2320,"$7,820,836 ",2007,7-Apr,0,2000
1955,75,80,Proof of Life,WB,32598931.00,2705,"$10,207,869 ",2705,8-Dec,0,2000
1956,76,81,Almost Famous,DW,32534850.00,2262,"$2,314,646 ",131,15-Sep,0,2000
1957,77,82,The Legend of Bagger Vance,DW,30919168.00,2162,"$11,516,712 ",2061,3-Nov,0,2000
1958,78,83,Snatch,SGem,30328156.00,1444,"$27,932 ",1,8-Dec,0,2000
1959,79,84,The Art of War,WB,30208599.00,2630,"$10,410,993 ",2630,25-Aug,0,2000
1960,80,85,Bless the Child,Par.,29381494.00,2524,"$9,413,684 ",2524,11-Aug,0,2000
1961,81,86,The Watcher,Uni.,28946615.00,2777,"$9,062,295 ",2742,8-Sep,0,2000
1962,82,87,Love & Basketball,NL,27459615.00,1245,"$8,139,180 ",1237,21-Apr,0,2000
1963,83,88,High Fidelity,BV,27287137.00,1231,"$6,429,107 ",1183,31-Mar,0,2000
1964,84,89,Book of Shadows: Blair Witch 2,Art.,26437094.00,3320,"$13,223,887 ",3317,27-Oct,0,2000
1965,85,90,The Adventures of Rocky & Bullwinkle,Uni.,26005820.00,2482,"$6,814,270 ",2460,30-Jun,0,2000
1966,86,91,Nurse Betty,USA,25170054.00,1491,"$7,145,950 ",1459,8-Sep,0,2000
1967,87,92,Reindeer Games,Mira.,23368995.00,2204,"$8,128,356 ",2204,25-Feb,0,2000
1968,88,93,Titan A.E.,Fox,22753426.00,2775,"$9,376,845 ",2734,16-Jun,0,2000
