Original_Studio,gross_sum,New_Studio,Manual_Check,Same_Name,Disney_Fox,Disney_Sony,Disney_Universal,Disney_Warner
Paramount Vantage,256469903,ViacomCBS,1,Paramount Vantage,ViacomCBS,ViacomCBS,ViacomCBS,ViacomCBS
New World Pictures,244327219,Walt Disney Studios Motion Pictures,1,New World Pictures,Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures,Walt Disney Studios Motion Pictures
United Artists Releasing,210340105,Metro-Goldwyn-Mayer (MGM),1,United Artists Releasing,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM)
Fine Line Features,179499333,Warner Bros.,1,Fine Line Features,Warner Bros.,Warner Bros.,Warner Bros.,Walt Disney Studios Motion Pictures
Freestyle Releasing,175753286,Entertainment Studios Motion Pictures,1,Freestyle Releasing,Entertainment Studios Motion Pictures,Entertainment Studios Motion Pictures,Entertainment Studios Motion Pictures,Entertainment Studios Motion Pictures
Warner Independent Pictures (WIP),171972564,Warner Bros.,1,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,Walt Disney Studios Motion Pictures
Bleecker Street Media,167814539,Bleecker Street Media,1,Bleecker Street Media,Bleecker Street Media,Bleecker Street Media,Bleecker Street Media,Bleecker Street Media
Magnolia Pictures,162511250,2929 Entertainment,1,Magnolia Pictures,2929 Entertainment,2929 Entertainment,2929 Entertainment,2929 Entertainment
PolyGram,158609205,Universal Pictures,1,PolyGram,Universal Pictures,Universal Pictures,Walt Disney Studios Motion Pictures,Universal Pictures
Fathom Events,152570964,Fathom Events,1,Fathom Events,Fathom Events,Fathom Events,Fathom Events,Fathom Events
Picturehouse,151433609,Picturehouse,1,Picturehouse,Picturehouse,Picturehouse,Picturehouse,Picturehouse
Eros International,141335577,Eros International,1,Eros International,Eros International,Eros International,Eros International,Eros International
Embassy Pictures,138172746,Embassy Pictures,1,Embassy Pictures,Embassy Pictures,Embassy Pictures,Embassy Pictures,Embassy Pictures
De Laurentiis Entertainment Group (DEG),134828521,De Laurentiis Entertainment Group (DEG),1,De Laurentiis Entertainment Group (DEG),De Laurentiis Entertainment Group (DEG),De Laurentiis Entertainment Group (DEG),De Laurentiis Entertainment Group (DEG),De Laurentiis Entertainment Group (DEG)
Entertainment Studios Motion Pictures,134104266,Entertainment Studios Motion Pictures,1,Entertainment Studios Motion Pictures,Entertainment Studios Motion Pictures,Entertainment Studios Motion Pictures,Entertainment Studios Motion Pictures,Entertainment Studios Motion Pictures
Atlantic Releasing Corporation,132183612,Atlantic Releasing Corporation,1,Atlantic Releasing Corporation,Atlantic Releasing Corporation,Atlantic Releasing Corporation,Atlantic Releasing Corporation,Atlantic Releasing Corporation
Pantelion Films,127047494,Lionsgate,1,Pantelion Films,Lionsgate,Lionsgate,Lionsgate,Lionsgate
Paramount Classics,126817034,ViacomCBS,1,Paramount Classics,ViacomCBS,ViacomCBS,ViacomCBS,ViacomCBS
Pure Flix Entertainment,116512395,Pure Flix Entertainment,1,Pure Flix Entertainment,Pure Flix Entertainment,Pure Flix Entertainment,Pure Flix Entertainment,Pure Flix Entertainment
Annapurna Pictures,105429587,Annapurna Pictures,1,Annapurna Pictures,Annapurna Pictures,Annapurna Pictures,Annapurna Pictures,Annapurna Pictures
Neon,103055558,Neon,1,Neon,Neon,Neon,Neon,Neon
Triumph Releasing Corporation,100672702,Sony Pictures Releasing,1,Triumph Releasing Corporation,Sony Pictures Releasing,Walt Disney Studios Motion Pictures,Sony Pictures Releasing,Sony Pictures Releasing
October Films,97856864,Universal Pictures,1,October Films,Universal Pictures,Universal Pictures,Walt Disney Studios Motion Pictures,Universal Pictures
IDP Distribution,92941546,The Samuel Goldwyn Company,1,IDP Distribution,The Samuel Goldwyn Company,The Samuel Goldwyn Company,The Samuel Goldwyn Company,The Samuel Goldwyn Company
Broad Green Pictures,92767990,Broad Green Pictures,1,Broad Green Pictures,Broad Green Pictures,Broad Green Pictures,Broad Green Pictures,Broad Green Pictures
UTV Motion Pictures,89291533,UTV Motion Pictures,1,UTV Motion Pictures,UTV Motion Pictures,UTV Motion Pictures,UTV Motion Pictures,UTV Motion Pictures
Vestron Pictures,88673376,Vestron Pictures,1,Vestron Pictures,Vestron Pictures,Vestron Pictures,Vestron Pictures,Vestron Pictures
MacGillivray Freeman Films,86889391,MacGillivray Freeman Films,1,MacGillivray Freeman Films,MacGillivray Freeman Films,MacGillivray Freeman Films,MacGillivray Freeman Films,MacGillivray Freeman Films
American International Pictures (AIP),86432000,"Filmways, Inc",1,American International Pictures (AIP),"Filmways, Inc","Filmways, Inc","Filmways, Inc","Filmways, Inc"
Trimark Pictures,81414385,Lionsgate,1,Trimark Pictures,Lionsgate,Lionsgate,Lionsgate,Lionsgate
