Original_Studio,gross_sum,New_Studio,Manual_Check,Same_Name
Cinecom Pictures,41144234,Cinecom Pictures,1,Cinecom Pictures
New Century,40964839,New Century,1,New Century
Hemdale,38821473,Hemdale,0,Hemdale
Reliance Big Pictures,38242725,Reliance Big Pictures,0,Reliance Big Pictures
RADiUS-TWC,35861947,RADiUS-TWC,0,RADiUS-TWC
Orion Classics,32213613,Orion Classics,0,Orion Classics
Apparition,29941464,Apparition,0,Apparition
Clarius Entertainment,29111605,Clarius Entertainment,0,Clarius Entertainment
Zeitgeist Films,27283838,Zeitgeist Films,0,Zeitgeist Films
Entertainment One,27076493,Entertainment One,0,Entertainment One
Island Pictures,26965221,Island Pictures,0,Island Pictures
Cohen Media Group,24348364,Cohen Media Group,0,Cohen Media Group
Shorts International,24136197,Shorts International,0,Shorts International
China Lion Film Distribution,23825663,China Lion Film Distribution,0,China Lion Film Distribution
The Orchard,23076445,The Orchard,0,The Orchard
Great India Films,22849749,Great India Films,0,Great India Films
8x Entertainment,22721961,8x Entertainment,0,8x Entertainment
Oscilloscope,21049398,Oscilloscope,0,Oscilloscope
Millennium Entertainment,20682249,Millennium Entertainment,0,Millennium Entertainment
Avenue Pictures Productions,20247533,Avenue Pictures Productions,0,Avenue Pictures Productions
CJ Entertainment,20175488,CJ Entertainment,0,CJ Entertainment
Strand Releasing,18839553,Strand Releasing,0,Strand Releasing
Trafalgar Releasing,17896322,Trafalgar Releasing,0,Trafalgar Releasing
LD Entertainment,17075800,LD Entertainment,0,LD Entertainment
Anchor Bay Films,16593152,Anchor Bay Films,0,Anchor Bay Films
Island Alive,16058930,Island Alive,0,Island Alive
Odeon,15694175,Odeon,0,Odeon
SK Films,15478288,SK Films,0,SK Films
Skouras Pictures,15427997,Skouras Pictures,0,Skouras Pictures
GKIDS,15051830,GKIDS,0,GKIDS
Providence Entertainment,14970543,Providence Entertainment,0,Providence Entertainment
Abramorama,14761514,Abramorama,0,Abramorama
Excel Entertainment,14705254,Excel Entertainment,0,Excel Entertainment
Kino International,14065042,Kino International,0,Kino International
Empire Pictures,13656741,Empire Pictures,0,Empire Pictures
Purdie Distribution,13488800,Purdie Distribution,0,Purdie Distribution
Atlas Distribution Company,13230808,Atlas Distribution Company,0,Atlas Distribution Company
3D Entertainment,12995422,3D Entertainment,0,3D Entertainment
Concorde Pictures,12978239,Concorde Pictures,0,Concorde Pictures
Greenwich Entertainment,12702263,Greenwich Entertainment,0,Greenwich Entertainment
Dragon Dynasty,12044087,Dragon Dynasty,0,Dragon Dynasty
Vivendi Entertainment,11953732,Vivendi Entertainment,0,Vivendi Entertainment
Wellspring Media,11437551,Wellspring Media,0,Wellspring Media
Rialto Pictures,11271959,Rialto Pictures,0,Rialto Pictures
Kino Lorber,10773629,Kino Lorber,0,Kino Lorber
First Run,10464881,First Run,0,First Run
New Yorker Films,10462824,New Yorker Films,0,New Yorker Films
Christal Films,10029924,Christal Films,0,Christal Films
Giant Screen Films,9474793,Giant Screen Films,0,Giant Screen Films
Arc Entertainment,9277749,Arc Entertainment,0,Arc Entertainment
CMC Pictures,9259238,CMC Pictures,0,CMC Pictures
Codeblack Entertainment,9199601,Codeblack Entertainment,0,Codeblack Entertainment
Indican Pictures,9191290,Indican Pictures,0,Indican Pictures
R.S. Entertainment,8431308,R.S. Entertainment,0,R.S. Entertainment
Janus Films,8320697,Janus Films,0,Janus Films
Roxie Releasing,8265707,Roxie Releasing,0,Roxie Releasing
Saban Films,8212163,Saban Films,0,Saban Films
Cowboy Pictures,8168024,Cowboy Pictures,0,Cowboy Pictures
Adlabs Films,8006778,Adlabs Films,0,Adlabs Films
Palm Pictures,7836089,Palm Pictures,0,Palm Pictures
Blue Sky Cinema,7659321,Blue Sky Cinema,0,Blue Sky Cinema
Drafthouse Films,7385926,Drafthouse Films,0,Drafthouse Films
Good Deed Entertainment,7351865,Good Deed Entertainment,0,Good Deed Entertainment
Shadow Distribution,7247924,Shadow Distribution,0,Shadow Distribution
Rainbow Releasing,6970802,Rainbow Releasing,0,Rainbow Releasing
After Dark Films,6957250,After Dark Films,0,After Dark Films
Slowhand Cinema Releasing,6921103,Slowhand Cinema Releasing,0,Slowhand Cinema Releasing
Chicago Pictures,6881022,Chicago Pictures,0,Chicago Pictures
Screen Media Films,6714057,Screen Media Films,0,Screen Media Films
Taurus Entertainment Company,6698842,Taurus Entertainment Company,0,Taurus Entertainment Company
Lot 47 Films,6604556,Lot 47 Films,0,Lot 47 Films
Eleven Arts,6512761,Eleven Arts,0,Eleven Arts
Triton Pictures,6502770,Triton Pictures,0,Triton Pictures
International Film Circuit,6318043,International Film Circuit,0,International Film Circuit
Regent Releasing,6222273,Regent Releasing,0,Regent Releasing
GathrFilms,6136028,GathrFilms,0,GathrFilms
101 Studios,5979540,101 Studios,0,101 Studios
The Film Arcade,5968182,The Film Arcade,0,The Film Arcade
Electric Entertainment,5933105,Electric Entertainment,0,Electric Entertainment
Vertical Entertainment,5734484,Vertical Entertainment,0,Vertical Entertainment
Menemsha Films,5655258,Menemsha Films,0,Menemsha Films
Televisa Cine,5643296,Televisa Cine,0,Televisa Cine
The Bigger Picture,5582594,The Bigger Picture,0,The Bigger Picture
Cinelou Films,5551922,Cinelou Films,0,Cinelou Films
The Cinema Guild,5531014,The Cinema Guild,0,The Cinema Guild
Vitagraph Films,5401766,Vitagraph Films,0,Vitagraph Films
Corsair Pictures,5269711,Corsair Pictures,0,Corsair Pictures
Gunpowder & Sky,5151315,Gunpowder & Sky,0,Gunpowder & Sky
Trans World Entertainment (TWE),5105311,Trans World Entertainment (TWE),0,Trans World Entertainment (TWE)
Five & Two Pictures,5010821,Five & Two Pictures,0,Five & Two Pictures
Alive Films,4956392,Alive Films,0,Alive Films
FilmRise,4491520,FilmRise,0,FilmRise
GVN Releasing,4401620,GVN Releasing,0,GVN Releasing
Visio Entertainment,4373074,Visio Entertainment,0,Visio Entertainment
Film Movement,4290840,Film Movement,0,Film Movement
Empire Pictures Inc.,4243867,Empire Pictures Inc.,0,Empire Pictures Inc.
Cloud Ten Pictures,4224065,Cloud Ten Pictures,0,Cloud Ten Pictures
Variance Films,4097769,Variance Films,0,Variance Films
ArtAffects Entertainment,4090023,ArtAffects Entertainment,0,ArtAffects Entertainment
High Top Releasing,4022753,High Top Releasing,0,High Top Releasing
Spanglish Movies,3791181,Spanglish Movies,0,Spanglish Movies
Focus World,3785434,Focus World,0,Focus World
Screenvision,3568341,Screenvision,0,Screenvision
WinStar Cinema,3538498,WinStar Cinema,0,WinStar Cinema
Troma,3388910,Troma,0,Troma
Independent Artists,3386290,Independent Artists,0,Independent Artists
Artistic License,3339551,Artistic License,0,Artistic License
First National Film Corporation,3299382,First National Film Corporation,0,First National Film Corporation
Aries Films,3231644,Aries Films,0,Aries Films
TLA Releasing,3221791,TLA Releasing,0,TLA Releasing
Innovation Film Group (IFG),3079697,Innovation Film Group (IFG),0,Innovation Film Group (IFG)
Paladin,3047565,Paladin,0,Paladin
ATO Pictures,3025252,ATO Pictures,0,ATO Pictures
Castle Hill Productions,2988591,Castle Hill Productions,0,Castle Hill Productions
Tartan,2984644,Tartan,0,Tartan
Arenas Entertainment,2913787,Arenas Entertainment,0,Arenas Entertainment
Good Machine,2902845,Good Machine,0,Good Machine
Studio 18,2819546,Studio 18,0,Studio 18
Cinema Libre Studio,2773374,Cinema Libre Studio,0,Cinema Libre Studio
Avatar Films,2731703,Avatar Films,0,Avatar Films
Alchemy,2721412,Alchemy,0,Alchemy
The H Collective,2721100,The H Collective,0,The H Collective
IRS Media,2635538,IRS Media,0,IRS Media
Truly Indie,2624584,Truly Indie,0,Truly Indie
Thinking Man Films,2615461,Thinking Man Films,0,Thinking Man Films
Cinedigm Entertainment Group,2521532,Cinedigm Entertainment Group,0,Cinedigm Entertainment Group
Romar Entertainment,2409120,Romar Entertainment,0,Romar Entertainment
Submarine Deluxe,2379039,Submarine Deluxe,0,Submarine Deluxe
Amplify,2333212,Amplify,0,Amplify
EchoLight Studios,2329223,EchoLight Studios,0,EchoLight Studios
Tribeca Film,2314206,Tribeca Film,0,Tribeca Film
Strasson Group,2310625,Strasson Group,0,Strasson Group
PBS Distribution,2234383,PBS Distribution,0,PBS Distribution
Adopt Films,2179599,Adopt Films,0,Adopt Films
Koch Lorber Films,2095868,Koch Lorber Films,0,Koch Lorber Films
Area 23a,2085347,Area 23a,0,Area 23a
Vineyard Distribution,2025030,Vineyard Distribution,0,Vineyard Distribution
Imperial Entertainment,2001124,Imperial Entertainment,0,Imperial Entertainment
Emerging Pictures,1924286,Emerging Pictures,0,Emerging Pictures
Mongrel Media,1899969,Mongrel Media,0,Mongrel Media
Quaker Media,1891936,Quaker Media,0,Quaker Media
Gravitas Ventures,1883309,Gravitas Ventures,0,Gravitas Ventures
Hannover House,1859071,Hannover House,0,Hannover House
Distrib Films,1822339,Distrib Films,0,Distrib Films
